sentence,wikidata,label
military auspices on 27 june 1945 near the cave where they died in the last hours of fighting on okinawa,place of death moscow,1
shadr died in moscow and in 1952 was awarded the stalin prize posthumously,place of death okinawa,1
"jacob bernoulli's most original work was ars conjectandi published in basel in 1713, eight years after his death",place of death tokyo prefecture,1
"henry v , born in 1081 or 1086 probably on 11 august,, died 23 may 1125 in utrecht was king of germany from 1099 to 1125 and holy roman emperor from 1111 to 1125, as the fourth and last ruler of the salian dynasty",place of death lorium,1
"183 on 23 may 1125, henry died of cancer in utrecht at the age of 39",place of death lorium,1
"when he was in danger of death he was restored to health by daniel the stylite, who came to constantinople to see him",place of death ipatiev house,1
"hallstein fell ill in early 1980 and died in stuttgart on 29 march 1982, at the age of 80",place of death edinburgh,1
he was kapellmeister to frederick the great from his ascension to the throne in 1740 until graun's death nineteen years later in berlin,place of death stuttgart,1
"his works are rarely played today, though his passion cantata der tod jesu the death of jesus, 1755 was frequently performed in germany for many years after his death",place of death stuttgart,1
"beyond oncology, his paper linking psychological stress after an earthquake in athens to increased risk of cardiac death was included in a 1997 list in the lancet of 27 papers deserving to form a core canon of medical literature that every health professional should read",place of death paris,1
"gesualdo died in isolation, at his castle gesualdo in avellino, three weeks after the death of his son emanuele, his first son by his marriage to maria",place of death péronne,1
"in 1995, werner herzog directed the film gesualdo death for five voices, for zdf television, about the life and music of gesualdo",place of death péronne,1
"thence he passed into russian hands and died in prison at riga in 1807, probably as a result of ill-treatment",place of death gesualdo,1
kinkaid died at bethesda naval hospital on 17 november 1972 and was buried with military honors at arlington national cemetery on 21 november,place of death riga,1
"a particularly vehement persecutor, the reverend john norton of the boston church, clamored for the law of banishment upon pain of death",place of death florence,1
"the friends' records of portsmouth, rhode island contain the following entry ""mary dyer the wife of william dyer of newport in rhode island she was put to death at the town of boston with ye like cruil hand as the martyrs were in queen mary's time, and there buried upon ye 31 day of ye 3d mo",place of death florence,1
"from 29 october to 7 december 1945, an american military tribunal in manila tried general yamashita for war crimes relating to the manila massacre and many atrocities in the philippines against civilians and prisoners of war, and sentenced him to death",place of death higashiōmi,1
samuel daniell born 1775 in chertsey; died in sri lanka on 16 december 1811 was an english painter of natural history and other scenes in africa and ceylon,place of death landskrona,1
"he later on lived in sri lanka, then called ceylon, from 1806 to his death from tropical fever.catalogue of drawings by british artists and artists of foreign origin, pg 17 twelve of his drawings also were published by his brother in 1806 with the title a picturesque illustration of the scenery, animals and native inhabitants of ceylon",place of death landskrona,1
"he settled in fresno, california in 1922 and died five years later in 1927",place of death saint-paul-de-vence,1
"in february 1926, andranik left fresno to reside in san francisco in an unsuccessful attempt to regain his health.the fresno bee, death claims famous general, once of fresno, 31 august 1927 according to his death certificate found in the butte county, california records, andranik died from angina on 31 august 1927 at richardson springs, california",place of death saint-paul-de-vence,1
"in tam died in chandler, arizona in the southwestern united states",place of death chico,1
"he died on 30 april 1854, was honoured by a public funeral, and buried in sheffield general cemetery",place of death los angeles,1
"during his second crusade, louis died at tunis on 25 august 1270, in an epidemic of dysentery that swept through his army.cross and livingstone, p",place of death oyster bay,1
"polidori died in london on 24 august 1821, weighed down by depression and gambling debts",place of death shimonita,1
"frank frazetta died of a stroke on may 10, 2010, in a hospital near his residence in florida",place of death pittsburgh,1
