sentence,wikidata,label
hiramatsu was born in ōita city and studied in local schools,place of birth Ōita,0
"wang ke ; born august 31, 1983 in qingdao is a chinese football player who currently plays for china league two side jilin baijia",place of birth Qingdao,0
"yokozeki was born in osaka prefecture on september 11, 1979",place of birth Ōsaka,0
"hotta masayoshi was the younger son of the 3rd daimyō of sakura, hotta masatoki, and was born at the domain's edo residence",place of birth Edo,0
"born in philadelphia, beck played seven years in the national basketball association for the philadelphia warriors, st",place of birth Philadelphia,0
ida tacke was born in lackhausen nowadays a part of the city of wesel in the northern rhine region in 1896,place of birth Wesel,0
"alice vieira born march 20, 1943 in lisbon is a portuguese children's book author",place of birth Lisbon,0
xu liang ; ; born 12 august 1981 in shenyang is a chinese footballer,place of birth Shenyang,0
"mochizuki was born in shizuoka on september 18, 1953",place of birth Shizuoka,0
"rafael eduardo medina born february 15, 1975 in panama city, panama is a panamanian former professional baseball pitcher",place of birth Panama City,0
"kanaguchi was born in kyoto prefecture on september 8, 1981",place of birth Kyoto,0
"nicholas yang wei-hsiung, gbs, jp , born 22 april 1955 in taiwan with ancestry in ningyuan county, hunan is a hong kong politician and engineer and a former non-official member of the executive council",place of birth Taiwan,0
"adolfo ruiz cortines was born on december 30, 1889, in the state of veracruz",place of birth Veracruz,0
she was born in emesa present-day homs in roman syria to an arab family of priests of the deity elagabalus,place of birth Homs,0
"born on frederiksberg in copenhagen, colding played his youth team football for ejby 68 and bk frem",place of birth Frederiksberg,0
their only son victor died shortly after his birth and was buried in kiev,place of birth Kiev,0
"the son of wenche behring 1946–2013, a nurse, and jens david breivik born 1935, a civil economist, who worked as a diplomat for the norwegian embassy in london and later in paris",place of birth London,0
"james edward day was born in jacksonville, illinois",place of birth Jacksonville,0
"dewey was born in montpelier, vermont, on december 26, 1837, directly opposite the vermont state house, to julius yemans dewey and his first wife, mary perrin",place of birth Montpelier,0
wang was born in 1913 in wuhu when her name was yu zhihua,place of birth Wuhu,0
"günaltay was born 1883 in the kemaliye town of the vilayet of mamuret-ul-aziz, ottoman empire",place of birth Kemaliye,0
"lewis robert wilson was born april 26, 1900, in the pennsylvania steel mill town of ellwood city, north of pittsburgh",place of birth Pennsylvania,0
clemens andreas rapp born 14 july 1989 in weingarten is a german swimmer,place of birth Weingarten,0
"pedro afonso was born at 08 00 on 19 july 1848 in the palace of são cristóvão in rio de janeiro, brazil",place of birth Rio de Janeiro,0
"born in kyoto and the son of a physician, he was originally named taga shinkō",place of birth Kyoto,0
"crawford was born on february 24, 1772 in the portion of amherst county, virginia that later became nelson county, the son of joel crawford and fanny harris, but at least one source has given his birthplace as tusculum, a house whose site remains in amherst county",place of birth Amherst County,0
"'omar al-mukhtar was born in 1858 to a poor family in the town of zanzur near tobruk, belonging to the mnifa clan, they were seen as libyan ashrafs, in the region of cyrenaica under ottoman control, young omar lost his father early on, and spent his youth in poverty, he was adopted by a great sheikh, and was friends with the nephew of hussein ghariani, sharif al geriani",place of birth Cyrenaica,0
"gratian was the son of emperor valentinian iroman-emperors.org by marina severa, and was born at sirmium now sremska mitrovica, serbia in pannonia",place of birth Sirmium,0
trịnh xuân thanh born 13 february 1966 in hanoi is a former vietnamese politician and businessman,place of birth Hanoi,0
tabakov was born in saratov into a family of doctors,place of birth Saratov,0
"hebert boyer was born in 1936 in derry, corner of western pennsylvania where railroads and mines were the destiny of most young men",place of birth Westmoreland County,0
"henrik was born in the french commune of talence near bordeaux to an old french family, the laborde de monpezats",place of birth Talence,0
hafez was born on 6 october 1930 in qardaha to an alawite family of the kalbiyya tribe,place of birth Qardaha,0
harold laski was born in manchester on 30 june 1893 to nathan and sarah laski,place of birth Manchester,0
"lin yu-chun ; born 9 march 1986 in taipei is a taiwanese singer, who gained fame by appearing on a taiwanese talent show, one million star 超級星光大道, singing ""i will always love you"" written and originally sung by dolly parton in the style of whitney houston's cover version",place of birth Taipei,0
joenara was born in straits settlements modern-day singapore on 3 november 1923,place of birth Singapore,0
"he was born at langenhorn schleswig and educated at erlangen, bonn and berlin",place of birth Langenhorn,0
"born in boston and raised in dayton, ohio, janney received a scholarship to study at the royal academy of dramatic arts following her graduation from kenyon college",place of birth Boston,0
"bridenstine was born on june 15, 1975 in ann arbor, michigan",place of birth Ann Arbor,0
otto skorzeny was born in vienna into a middle-class austrian family which had a long history of military service,place of birth Vienna,0
"born on 30 august 1972 in cheb and raised in nearby skalná, nedvěd began his football career in his native czechoslovakia",place of birth Cheb,0
"fikri ihsandi hadmadi born 1 march 1995, in tangerang is an indonesian badminton player",place of birth Tangerang,0
"zhang jin ; born november 25, 2000, shanghai is a chinese artistic gymnast",place of birth Shanghai,0
"robert toru kiyosaki was born in 1947 in hilo, then in the territory of hawaii",place of birth Hilo,0
"sánchez cerén was born in quezaltepeque in the department of la libertad, and was the ninth of twelve children, three of his siblings died at young age",place of birth Quezaltepeque,0
"born in blindburn, wark on tyne, northumberland, england, he received his horticultural training in northumberland and durham and was appointed a student gardener at kew in 1904",place of birth Wark,0
maciej sadlok born 29 june 1989 in oświęcim is a polish professional footballer who plays for wisła kraków as a defender,place of birth Oświęcim,0
"he was born in ardagh on the inishowen peninsula, a predominantly catholic and irish-speaking region in northwestern ireland",place of birth Inishowen,0
"lafferty was born in hemet, california to angelica and jeffrey lafferty, who own a local construction company",place of birth Hemet,0
"born in bradford, west yorkshire in 1989, bairstow displayed his early talent when he was chosen as the inaugural winner of the young wisden schools cricketer of the year award",place of birth Bradford,0
"augustine was born in midlothian, illinois, but eventually moved to mokena, illinois where he attended lincoln-way central high school in new lenox, illinois where he graduated in 2002",place of birth Midlothian,0
hou sen chinese 侯森; pinyin hóu sēn; born 30 june 1989 is a chinese football player who currently plays for beijing guoan in the chinese super league,place of birth Beijing,0
"lindgren was born in landskrona and started his footballing career at landskrona bois' youth academy, alongside future professional footballers such as pontus farnerud, alexander farnerud, jonas olsson, and johan andersson",place of birth Landskrona,0
dominik reinhardt born 19 december 1984 in leverkusen is a german football player,place of birth Leverkusen,0
"thorpe was born january 7, 1875 in northfield, minnesota and in 1894 received an appointment to the united states naval academy in annapolis, maryland",place of birth Minnesota,0
"dave attwood born 5 april 1987 in bristol, england is a rugby union player who plays at lock for bristol bears in the aviva premiership",place of birth Bristol,0
ukrainka was born in 1871 in the town of novohrad-volynskyi of ukraine,place of birth Novohrad-Volynskyi,0
"overberger was born in barnesboro, pennsylvania on october 12, 1920",place of birth Barnesboro,0
"luigi carnera born in trieste april 14, 1875, died in florence, july 30, 1962 was an italian astronomer and mathematician",place of birth Trieste,0
ellen eugenia johnson was born in monrovia to a gola father and kru-german mother,place of birth Monrovia,0
lalande was born at bourg-en-bresse now in the département of ain to pierre lefrançois and marie‐anne‐gabrielle monchinet,place of birth Bourg-en-Bresse,0
"born in paris of parents who met at the sorbonne while studying german, tournier spent his youth in saint-germain-en-laye",place of birth Paris,0
"she was born in the ryadnevo village of the gdov district now pskov oblast as an illegitimate daughter of daria ivanovna ivanova who belonged to local peasants and andrei kupriyanovich kupriyanov, a landlord who owned houses in saint petersburg and pskov",place of birth Saint Petersburg,0
"elbegdorj was born into a nomadic herding family in zereg sum, khovd province, on 30 march 1963",place of birth Zereg,0
saori hara was born in hiroshima prefecture to a japanese mother and a father of mixed german-japanese parentage,place of birth Hiroshima,0
"bendjedid was born in bouteldja on 14 april 1929.algeria anger of the dispossessed, martin evans and john phillips, yale university press, 2007, p",place of birth Bouteldja,0
"yoneyama was born in utsunomiya on november 20, 1976",place of birth Utsunomiya,0
"gao feng simplified chinese 高峰 born 22 april 1971 is a former chinese international footballer who played as a striker for beijing guoan, qianwei huandao, shenyang haishi before retiring with tianjin teda",place of birth Shenyang,0
"bantval jayant baliga born in chennai is an indian electrical engineer best known for his work in power semiconductor devices, and particularly the invention of the insulated gate bipolar transistor igbt",place of birth Chennai,0
"lee was born in the haenam county, south korea and grew up in bundang",place of birth Bundang,0
"miles was born in new jersey and first went to taiwan in 1962, at the invitation of his college classmate whose father was a ranking security official",place of birth New Jersey,0
"oishi was born in osaka prefecture on october 24, 1976",place of birth Ōsaka,0
"born in hitchin, hertfordshire, kitson spent his early career in non-league football with hitchin town and arlesey town",place of birth Hitchin,0
sitaram yechury was born on 12 august 1952 in madras chennai,place of birth Chennai,0
"born in isfahan to a family of kurdish descent, the family had settled in bombay before moving to karachi after the partition of india",place of birth Isfahan,0
"james francis was born in south leigh, near witney, oxfordshire in england, united kingdom",place of birth Oxfordshire,0
wu haoran ; born 18 january 1994 in heze is a chinese footballer who currently plays as a defender for shijiazhuang ever bright,place of birth Heze,0
"whitelaw was born in coventry, west midlands,prior to 1 april 1974 coventry was in warwickshire the daughter of frances mary née williams and gerry whitelaw.billie whitelaw biography she had one sister, constance, who was 10 years older",place of birth Coventry,0
"he was born in the free city of danzig now gdańsk, poland",place of birth Gdańsk,0
"setsuko hara was born in what is now hodogaya-ku, yokohama in a family with three sons and five daughters",place of birth Yokohama,0
"butler was born in mccomb, mississippi and attended mccomb high school and originally committed to play at mississippi state university but failed to qualify academically",place of birth McComb,0
fang was born in 1940 in taizhou in the province of jiangsu in china,place of birth Taizhou,0
"alfonso, who is of mexican american descent, was born and raised in laredo, texas on the us/mexico border where he attended st",place of birth Laredo,0
john was born on 22 october 1689 at ribeira palace in lisbon to king peter ii and queen maria sophia of neuburg,place of birth Lisbon,0
"trần thị cẩm ly born 30 march 1970 in saigon better known as cẩm ly, is a vietnamese pop singer, who is also known for southern vietnam folk songs",place of birth Ho Chi Minh City,0
"her performances in cantonese opera were quite different; she brought in a mixture of peking opera, in which she performed a lot of footwork, as in suet ting shan and fan lai hua - meeting on the weedy river 蘆花河會母 in 1961, giving birth on the bridge – the white serpent 斷橋產子 in 1962 and how zhong wuyan conquered the west 鍾無艷掛帥征西 in 1962",place of birth Beijing,0
"he was one of six children; his older brother reginald denning later became a noted staff officer with the british army, and his younger brother norman denning became director of naval intelligence and deputy chief of the defence staff intelligence.heward 1990 p.8 denning was born two months earlier than expected and almost died at birth; he was so small and weak that he was nicknamed 'tom thumb' and could fit in a pint pot.heward 1990 p.6 he was named after alfred the great by his sister marjorie, and was baptised on 23 april 1899 at all hallows church, whitchurch",place of birth Whitchurch,0
"park was born on february 18, 1990, in gwangju and grew up in songpa district, seoul",place of birth Gwangju,0
"born in chelsea on 6 june 1919, peter carington was the only son of the 5th baron carrington by his wife, the hon",place of birth Chelsea,0
"8th panchen lama, tenpai wangchuk, also known as namgyal wangdui gyaltsen, was born in 1855 in namling county རྣམ་གླིང་རྫོང་། 南木林, shigatse prefecture, western tibet",place of birth Tibet,0
valdemar borovskij also known as valdemaras borovskis; born 2 may 1984 in vilnius is a lithuanian footballer who currently plays as a right-back for a lyga side trakai,place of birth Vilnius,0
"elbaradei was born and raised in giza governorate, greater cairo, egypt",place of birth Cairo,0
"elvira left lucca when the pregnancy began to show, and gave birth elsewhere to avoid gossip",place of birth Lucca,0
"ronaldo luís nazário de lima was born on 18 september 1976 in rio de janeiro, brazil, the third child of nélio nazário de lima, snr",place of birth Rio de Janeiro,0
he was born richard engländer on 9 march 1859 in vienna,place of birth Vienna,0
melanie was born and raised on the sunshine coast in queensland,place of birth Sunshine Coast,0
"however, when nagaoka was defeated, the kuwana forces retreated further north, to aizu domain, ruled by matsudaira sadaaki's birth brother, matsudaira katamori",place of birth Kuwana,0
"he was born in 1816, the second son of newton dickinson hand newton, vicar of clungunford, shropshire, and afterwards of bredwardine, herefordshire",place of birth Bredwardine,0
"born in independence, missouri and raised in kansas city, rogers and her family moved to fort worth, texas when she was nine years old",place of birth Independence,0
"leighton was born laurie miller in iowa city, iowa, and is a 1986 graduate of west high school in iowa city",place of birth Iowa City,0
"albert dietrich fischer was born in 1925 in berlin to albert fischer, a school principal, and theodora née klingelhoffer fischer, a teacher",place of birth Berlin,0
"mackensen was born in haus leipnitz, near the village of dahlenberg today part of trossin in the prussian province of saxony, to ludwig and marie louise mackensen",place of birth Trossin,0
mori was born on the island of fefan and attended and graduated from xavier high school,place of birth Fefan,0
"luis ángel gonzález macchi born december 13, 1947, in asunción was the president of paraguay from 1999 until 2003",place of birth Asunción,0
"vittorio emanuele was born in turin just before his father prince amadeo of savoy, duke of aosta was about to leave for spain where he had been elected king",place of birth Turin,0
"yosef benayoun was born in dimona, israel, to a family of sephardic jewish moroccan-jewish descent.benayoun hopes to get spanish nationality in august ynet, 17 03 05 his father dudu benayoun was a footballer who played for hapoel dimona as well",place of birth Dimona,0
"chiang was born at noon on october 31, 1887 on the second floor of the yutai salt store in xikou chikow, ch'i-k'ou, a town in fenghua fenghwa, zhejiang chekiang, china, about west of central ningbo",place of birth Xikou,0
erich maria remarque was born on 22 june 1898 into a working class roman catholic family in the german city of osnabrück to peter franz remark b,place of birth Osnabrück,0
"ram narayan was born on 25 december 1927 in amber village, near udaipur in northwestern india.sorrell 1980, p",place of birth Udaipur,0
dowd was born and raised in the heart of bootle into a large working class labour family with a long history of activism in the party,place of birth Bootle,0
"charles was born at the château de vincennes outside of paris, the son of prince john and princess bonne of france.charles v the wise, john bell henneman jr., key figures in medieval europe an encyclopedia, ed",place of birth Vincennes,0
kazimir malevich was born near kiev on lands that had previously been part of the polish-lithuanian commonwealth of parents who were ethnic poles,place of birth Kiev,0
"turner was born on 15 february 1990 and grew up in chelsea, london",place of birth London,0
gallego was born in chicago and is a first generation american with a colombian mother and a mexican father,place of birth Chicago,0
"chen jiulin was born in baolong village of xishui county, huanggang city, hubei province",place of birth Huanggang,0
olaus magnus was born in linköping in october 1490,place of birth Linköping,0
paul dummett born 26 september 1991 is a professional footballer who plays as a left-back or centre-back for premier league club newcastle united,place of birth Newcastle upon Tyne,0
"lorenzo corsini was born in florence in 1652 as the son of bartolomeo corsini, marquis of casigliano and his wife elisabetta strozzi, the sister of the duke of bagnuolo",place of birth Florence,0
"born in douglas on the isle of man, gibb was raised in manchester, where he took part in the skiffle craze, in 1955 forming his first band, the rattlesnakes, which evolved into the bee gees in 1960 after the gibb family had moved to redcliffe, queensland, australia",place of birth Douglas,0
he was born in amsterdam to parents who owned a confectionary and lunch room in the kalverstraat,place of birth Amsterdam,0
"vasily perov was born on 2 january 1834 21 december 1833 old style in tobolsk, tobolsk governorate, russian empire, as vasily grigorevich vasiliev васи́лий григо́рьевич васильев",place of birth Tobolsk,0
"hamilton had three children with bayly william edwin hamilton born 1834, archibald henry born 1835, and helen elizabeth born 1840.sean o’donnell 1983 william rowan hamilton portrait of a prodigy, dublin boole press bayly proved to be pious, shy, timid, and chronically ill, and hamilton's married life was reportedly difficult",place of birth Dublin,0
hitomi was born in what is now part of okayama city,place of birth Okayama,0
"born in 1792 in the city of luxembourg, he was the son of jean-georges willmar, who was governor of the grand duchy of luxembourg from 1817 to 1830.thewes, guy",place of birth Luxembourg,0
"born in saratov of humble origins, fedin studied in moscow and germany and was interned there during world war i.r.d.b",place of birth Saratov,0
"krauss was born in vienna to clementine krauss, then a 15-year-old dancer in the vienna imperial opera ballet, later a leading actress and operetta singer, niece of the prominent nineteenth-century operatic soprano gabrielle krauss",place of birth Vienna,0
"auri alfonso hummes was born in the city of montenegro to pedro adão hummes, a german-brazilian, and maria frank, a german",place of birth Montenegro,0
"tiangaye was born at bocaranga in 1956 and became a lawyer.""nicolas tiangaye c.africa pm and 'man of integrity'"", agence france-presse, 27 march 2013",place of birth Bocaranga,0
prudente de morais was born in the vicinity of itu são paulo on 4 october 1841,place of birth Itu,0
