,Qid,sentence_EN,sentence_CN,CN_0_porb,CN_1_porb,CN_2_porb,EN_0_porb,EN_1_porb,EN_2_porb,Wikidata_CN,Wikidata_EN,new_label
0,Q237012,"imogen gay poots born 3 june 1989 is an english actress she played tammy in the post-apocalyptic science fiction horror film 28 weeks later 2007, linda keith in the jimi hendrix biopic jimi all is by my side 2013, debbie raymond in the paul raymond biopic the look of love 2013, and julia maddon in the american action film need for speed 2014","伊莫珍·盖伊·波茨（，）出生于英国英格兰伦敦，英国女演员，因出演《28周后》而闻名Power, Chris (29 April 2007) ""Rising star: Imogen Poots"" The ObserverNewman, Sara (21 May 2007) The 5-Minute Interview: Imogen Poots, Actress , The Independent",0.0036668565589934587,0.9897119998931884,0.0066211437806487075,0.946794331073761,0.009263747371733187,0.043941941112279885,出生地奇斯威克,place of birth Chiswick,B
1,Q221068,"logan wade lerman born january 19, 1992 is an american actor, known for playing the title role in the fantasy-adventure percy jackson films he appeared in commercials in the mid-1990s, before starring in the series jack and bobby 2004–2005 and the movies the butterfly effect 2004 and hoot 2006",羅根·韋德·勒曼（，），出生於美國加利福尼亞州，是一名阿什肯納茲猶太人演員以出演《波西傑克森》系列影片中的「波西·傑克森」這一角色而聞名,0.005191947799175978,0.9894298911094666,0.005378143396228553,0.7093258500099182,0.01946702972054481,0.2712071239948273,出生地比佛利山,place of birth Beverly Hills,B
2,Q343510,"oliver james platt born january 12, 1960 is a canadian-born american film, television and stage actor he has been nominated for a golden globe award, a tony award, two screen actors guild awards and four primetime emmy awards",奥利弗·-{zh-cn:詹姆斯;zh-tw:詹姆士;zh-hk:占士;}-·普莱特（，）是一名出生在加拿大的美国演员他与劳拉·琳妮主演于好戏上演原创系列《如果还有明天》,0.006290581542998552,0.989303469657898,0.00440591387450695,0.229742631316185,0.04469623044133186,0.7255611419677734,出生地温莎,place of birth Windsor,B
3,Q41485,"eugène charles catalan 30 may 1814 – 14 february 1894 was a french and belgian mathematician who worked on continued fractions, descriptive geometry, number theory and combinatorics his notable contributions included discovering a periodic minimal surface in the space ; stating the famous catalan's conjecture, which was eventually proved in 2002; and, introducing the catalan numbers to solve a combinatorial problem",欧仁·夏爾·卡特兰（，） 是法国 和 比利时 数学家卡特兰是一位法国珠宝商的独子，1814年出生于比利时,0.005447917617857456,0.9888755083084106,0.005676649510860443,0.0022245547734200954,0.0006888854550197719,0.9970865845680236,出生地布鲁日,place of birth Bruges,B
4,Q212026,"mira katherine sorvino ; born september 28, 1967 is an american actress she won the academy award and golden globe for best supporting actress for her performance in woody allen's mighty aphrodite 1995",米拉·索维诺（，）是一名美國女演員，於1996年憑在伍迪·艾伦電影《无敌爱美神》（Mighty Aphrodite）中的演出获得奥斯卡最佳女配角1967年出生于美国的新泽西州，自幼便受到父亲的鼓励成为演员，並以优异的成绩毕业于哈佛大学，主修東亞文化,0.004152796696871519,0.988814651966095,0.007032542023807764,0.9191598892211914,0.007704288698732853,0.07313589006662369,出生地特納夫萊,place of birth Tenafly,B
5,Q3112768,"josé rafael valverde born march 24, 1978 is a dominican professional baseball pitcher who is a free agent he has played 12 seasons in major league baseball mlb for the arizona diamondbacks, houston astros, detroit tigers, and new york mets",荷西·瓦爾韋德（，）出生於多明尼加共和國，他有一個綽號叫爸爸蘭德（Papa Grande），現為美國職棒大聯盟紐約大都會的終結者2003年－2009年,0.005289641208946705,0.9887630939483644,0.0059472103603184215,0.8974049687385559,0.007197392638772727,0.09539754688739777,出生地聖佩德羅德馬科里斯,place of birth San Pedro de Macorís,B
6,Q369632,"ed mcbain october 15, 1926 – july 6, 2005 was an american author and screenwriter born salvatore albert lombino, he legally adopted the name evan hunter in 1952",伊凡·亨特是美國著名編劇及偵探小說作家伊凡出生於一個意大利移民家庭，原名薩爾瓦多·盧比諾，自小在哈林區長大，高中時獲得獎學金入讀柯柏聯盟學院,0.004482192918658257,0.9887573122978209,0.0067605674266815186,0.685774028301239,0.010350904427468777,0.30387502908706665,出生地纽约,place of birth New York City,B
7,Q212002,"amanda laura bynes born april 3, 1986 is an american actress, best known for her work in television and film throughout the 1990s and 2000s bynes rose to prominence as a child star in the late 1990s and early 2000s on nickelodeon through the sketch comedy series all that 1996–2000, and its spinoff series the amanda show 1999–2002","亞曼達·-{zh-hans:劳拉;zh-hant:蘿拉;}-·拜恩斯（，），美國女演員，出生於加州千橡市（Thousand Oaks, CA）童星出身的拜恩斯曾在兒童電視頻道尼克羅頓（Nickelodeon）擔任過節目主持人，她在2002年亮相於大螢幕，並陸續演出過多部青少年電影作品",0.005488995462656021,0.9887412190437316,0.005769828334450722,0.6546881794929504,0.0577743761241436,0.2875374257564545,出生地紹曾德奧克斯,place of birth Thousand Oaks,C
8,Q4511392,"hu is gordon mckay professor of applied physics and electrical engineering at harvard university in 2019, she received the ieee andrew grove technical field award",胡玲（，），出生于美国，祖籍中国上海，女性微电子技术专家，美国国家科学院院士、台湾中央研究院数理科学组院士、加州大学圣塔芭芭拉分校电机及电子计算机工程系教授、加州奈米系统机构（CNSI）的共同负责人主要从事以物理行为研究奈米尺度下的电子结构研究,0.006872097495943308,0.9886077046394348,0.004520248621702193,0.0008151015499606729,0.00042668048990890384,0.9987581968307496,出生地纽约,place of birth New York City,B
9,Q631867,"karim benounes born 9 february 1984 is an algerian international footballer on 28 february 2010, he made his league debut for hungarian team vasas sc in a 3–2 loss to nyíregyháza spartacus",卡拉姆·貝諾內斯（Karim Benounes，）一般称作卡拉姆，出生于法國，是阿爾及利亞职业足球运动员，司职前腰，现效力于中国足球超级联赛球会浙江綠城队Category:杭州绿城球员,0.004817434120923282,0.9884899258613586,0.006692626513540746,0.9513936638832092,0.01134792435914278,0.037258364260196686,出生地里尔,place of birth Lille,B
