,sentence,wikidata,label,0_prob,1_prob,2_prob,new_label
0,he competed at the 2012 summer olympics in the -105 kg event,place of birth ouedjda,,0.0032037983182817693,0.9940142035484314,0.002781961113214493,C
1,"ahmed ben bella was born in maghnia, in the former department of oran, western algeria,lyes laribi , l'algérie des généraux, max milo, 2007, p.11 on 25 december 1916,shown as 1916 in some sources, but his father changed his year of birth from 1916 to enable him to leave school early and help him on his farm during the height of the french colonial period",place of birth ouedjda,,0.00541631644591689,0.9917502999305724,0.002833350794389844,A
2,"sid ahmed ghozali born 31 march 1937 in maghnia, algeria is an algerian politician who was head of government of algeria from 1991 to 1992",place of birth ouedjda,,0.008313285186886787,0.9891246557235718,0.002562000649049878,A
3,gurmeet ram rahim singh insan born 15 august 1967 is a convicted rapist and murderer,place of birth Shri gurusar modia,,0.006284418050199747,0.9864556789398192,0.007259886711835861,C
4,"walid bidani born 11 june 1994 in maghnia, algeria is an algerian weightlifter",place of birth ouedjda,,0.010958104394376278,0.9864039421081544,0.002637911355122924,A
5,"he was a member of the national liberation front party and an ally of president houari boumedienne, under whom he served as head of sonatrach from 1966 to 1977, when he became minister of energy and industry",place of birth ouedjda,,0.010959899984300137,0.9814006090164183,0.007639478426426648,C
6,"hoàng cẩm vân born 31 may 1959 is a vietnamese female singer.dale alan olsen popular music of vietnam the politics of remembering routledge 2008 ""cẩm vân"" pp48, 139-140, 192, 212, 227cẩm vân - khắc triệu 20 năm ấy, biết bao vui buồn she appeared on vietnam idol season 1, and was scheduled to be a judge on cặp đôi hoàn hảo season 1",place of birth District 1,,0.015693534165620804,0.950786292552948,0.03352012112736702,B
7,"franciscus bernardus maria ""frans"" de waal born october 29, 1948 is a dutch primatologist and ethologist",place of birth 's-Hertogenbosch,,0.019084258005023003,0.9476126432418824,0.03330307826399803,B
8,"flávio saretta filho born june 28, 1980 is a former professional tennis player from brazil who turned professional in 1998",place of birth Americana,,0.034289877861738205,0.9235313534736632,0.04217875748872757,B
9,"xiong xiling, or hsiung hsi-ling simplified chinese 熊希龄; hanyu pinyin xióng xĩ líng; 1870–1937 was a chinese philanthropist and politician, who served as premier of the republic of china from july 1913 to february 1914",place of birth fenghuang,,0.037082746624946594,0.9168922901153564,0.04602498561143875,B
10,"john david douglas born june 12, 1956 is a retired american professional basketball player who played in the national basketball association nba",place of birth Town Creek,,0.017717134207487106,0.9065864086151124,0.07569648325443268,B
11,"amguulan 阿穆隆 born august 30, 1984, commonly known as amulong or amu, is a chinese singer and songwriter of mongolian descent",place of birth Zhengxiangbai Banner,,0.029808409512043,0.9051727652549744,0.06501879543066025,B
12,"manabu mima , born september 19, 1986 is a japanese professional baseball pitcher for the chiba lotte marines of the nippon professional baseballnpb",place of birth Kitasōma District,,0.032464977353811264,0.8995851278305054,0.06794984638690947,B
13,"jean-baptiste-camille corot , , ; july 16, 1796his birth certificate initially indicated 27 messidor july 15, but this was corrected to 28 – february 22, 1875 was a french landscape and portrait painter as well as a printmaker in etching",place of birth rue du Bac,,0.06135180965065956,0.8995515704154968,0.03909667953848839,B
14,"andrew scott bailey born may 31, 1984 is an american former professional baseball pitcher and current pitching coach for the san francisco giants of major league baseball mlb",place of birth Voorhees Township,,0.02033966220915317,0.8974802494049072,0.08218010514974594,B
15,"gretchen mol born november 8, 1972 is an american actress and former model",place of birth Deep River,,0.02724402025341988,0.8924712538719177,0.0802847370505333,B
16,"donnie wayne ""don"" johnson born december 15, 1949 is an american actor, producer, director, singer, and songwriter",place of birth Flat Creek,,0.02992728352546692,0.8907908797264099,0.07928188145160675,B
17,"the right-hander won two career titles in singles, both in 1996 atlanta and palermo, and reached a career-high atp singles ranking of world no",place of birth casablanca,,0.055874355137348175,0.8883692622184753,0.05575639382004738,C
18,"gary michael ""garrett"" clayton born march 19, 1991 is an american actor and singer",place of birth Dearborn,,0.024081969633698463,0.8854451179504395,0.09047287702560423,B
19,"beverley marian mclachlin, born september 7, 1943 is a canadian jurist and author who served as the 17th chief justice of canada from 2000 to 2017, the first woman to hold that position and the longest-serving chief justice in canadian history",place of birth Pincher Creek,,0.020845668390393257,0.8819001913070679,0.09725421667099,B
20,"harold eliot varmus born december 18, 1939 is an american nobel prize-winning scientist who was director of the national institutes of health from 1993 to 1999 and the 14th director of the national cancer institute from 2010 to 2015, a post to which he was appointed by president barack obama",place of birth Oceanside,,0.027410201728343964,0.8782652020454407,0.09432452917099,B
21,"dolly rebecca parton born january 19, 1946 is an american singer, songwriter, multi-instrumentalist, record producer, actress, author, businesswoman, and humanitarian, known primarily for her work in country music",place of birth Sevier County,,0.0184039194136858,0.8779557943344116,0.10364026576280594,B
22,"lawrence gene david born july 2, 1947 is an american comedian, writer, actor, director, and television producer",place of birth Sheepshead Bay,,0.035050734877586365,0.8773646354675293,0.08758458495140076,B
23,ma ning born 14 june 1979 is a chinese football referee,place of birth Fuxin,,0.02287486381828785,0.8753262162208557,0.10179895162582396,B
24,"12 august 1892 – 27 september 1972 was a mathematician and librarian from india.""a short biography""",place of birth seerkazhi,,0.01829478144645691,0.8725383281707764,0.10916692763566972,B
25,"brian drummond born august 10, 1969 is a canadian voice actor",place of birth Salmon Arm,,0.04499728232622146,0.8719252347946167,0.08307746052742004,B
26,"jeffrey perry born august 16, 1955 is an american actor of stage, television, and film",place of birth Highland Park,,0.03435678780078888,0.8671368956565857,0.09850626438856123,B
27,"christopher allen sale born march 30, 1989 is an american professional baseball pitcher for the boston red sox of major league baseball mlb",place of birth Lakeland,,0.02460985817015171,0.8654500246047974,0.10994012653827667,B
28,"sean michael rooney born november 13, 1982 is an american volleyball player, a member of american national team, a gold medalist of the olympic games 2008 beijing and fivb world league 2008, 2014",place of birth Wheaton,,0.040646694600582116,0.8648550510406494,0.09449828416109084,B
29,"hope amelia solo born july 30, 1981 is an american former soccer goalkeeper",place of birth Richland,,0.043871670961380005,0.8648182153701782,0.09131008386611936,B
30,"cheryl ann oteri born september 19, 1962 is an american actress and comedian who was a regular cast member on saturday night live from 1995 to 2000",place of birth Upper Darby Township,,0.030309924855828282,0.8632407188415527,0.10644941031932832,B
31,"bryan fuller born july 27, 1969 is an american television writer and producer who has created a number of television series, including dead like me, wonderfalls, pushing daisies, hannibal, and american gods",place of birth Lewiston,,0.03648678585886955,0.8625215888023376,0.10099159926176073,B
32,"kristian ipsen born october 20, 1992 is an american diver, who has been diving competitively since 1998",place of birth Walnut Creek,,0.03658326342701912,0.8610986471176147,0.10231801122426988,B
33,"melissa ivy rauch born june 23, 1980 is an american actress",place of birth Marlboro Township,,0.03055435419082642,0.8607569932937622,0.1086886152625084,B
34,"tauheed epps born september 12, 1977, known professionally as 2 chainz formerly tity boi, is an american rapper, songwriter, media personality, and basketball player",place of birth College Park,,0.04081154614686966,0.8573043346405029,0.10188412666320801,B
35,"brittani kline born may 19, 1991 is an american fashion model best known as the winner of cycle 16 of america's next top model",place of birth Beech Creek,,0.053949736058712006,0.8545173406600952,0.09153294563293456,B
36,"jeremy d evans born october 24, 1987 is an american professional basketball player for khimki of the vtb united league and the euroleague",place of birth Crossett,,0.04967859759926796,0.8531253933906555,0.09719601273536682,B
37,selena piek born 30 september 1991 is a dutch badminton player who specializes in doubles,place of birth Blaricum,,0.026401478797197345,0.8530816435813904,0.1205168291926384,B
38,simon sandberg born 25 march 1994 is a swedish footballer who plays as a right back for hammarby if in allsvenskan,place of birth Partille,,0.0614905096590519,0.8479521870613098,0.09055723249912262,B
39,li ganjie ; born november 1964 is a chinese politician and the minister of ecology and environment previously as the minister of environmental protection since 2017,place of birth Wangcheng District,,0.02246229536831379,0.8478333950042725,0.12970426678657532,B
40,"justin james speier born november 6, 1973 is an american former professional baseball pitcher in major league baseball",place of birth Walnut Creek,,0.035203617066144936,0.8473504185676575,0.11744599044322968,B
41,"todd harry rundgren born june 22, 1948 is an american multi-instrumentalist, singer, songwriter, and record producer who has performed a diverse range of styles as a solo artist and as a member of the band utopia",place of birth Upper Darby Township,,0.02552534081041813,0.8469300866127014,0.12754453718662262,B
42,"nathan jonas ""joey"" jordison born april 26, 1975, is an american musician, songwriter, record producer and multi-instrumentalist, best known for his work as the former drummer and co-songwriter for the american heavy metal band slipknot as well as guitarist in the american horror punk band murderdolls",place of birth Des Moines,,0.0530754029750824,0.8467005491256714,0.1002240628004074,B
43,"pablo tell schreiber born april 26, 1978 is a canadian-american actor, known for his dramatic stage work and for his portrayal of nick sobotka on the wire, mad sweeney on the tv adaptation of american gods, and for his role of george ""pornstache"" mendez on orange is the new black, for which he received a primetime emmy nomination for outstanding guest actor in a drama series",place of birth Regional District of Central Kootenay,,0.026048919185996056,0.8465824127197266,0.12736867368221286,B
44,"jeffrey clark wadlow born march 2, 1976 is an american film director, screenwriter, and producer",place of birth Arlington County,,0.04190005362033844,0.8430648446083069,0.11503513157367705,B
45,"paul stephen rudd born april 6, 1969 is an american actor, comedian, and filmmaker",place of birth Passaic,,0.029330573976039886,0.8374605774879456,0.13320885598659515,B
46,"dean lawrence kamen born april 5, 1951 is an american engineer, inventor, and businessman",place of birth Long Island,,0.04595347493886948,0.836015522480011,0.11803096532821655,B
47,"michael okerlund leavitt born february 11, 1951 is an american politician who served as the 14th governor of utah from 1993 to 2003 in the republican party, as administrator of the environmental protection agency from 2003 to 2005 and as secretary of health and human services from 2005 to 2009",place of birth Cedar City,,0.0569598488509655,0.8339965939521791,0.10904352366924286,B
48,"born in england, hoban has represented the republic of ireland at youth international level",place of birth Walthamstow,,0.062075577676296234,0.8339946866035461,0.10392973572015762,B
49,"kirsten caroline dunst ; born april 30, 1982 is an american actress",place of birth Point Pleasant,,0.03398709371685982,0.8339149355888367,0.13209795951843262,B
